image_path,label,score,p_cross,p0_cross,p1_cross,p_target,decision_native,decision_target,decision_target_realistic
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/000.png,0,0.3785505890846252,0.5689655172413792,0.5,0.66,0.009196074166711973,escalate,pass,pass
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/001.png,0,0.4552537798881531,0.689655172413793,0.6842105263157895,0.7017543859649122,0.015384904031970572,fail,pass,escalate
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/002.png,0,0.5007952451705933,0.6909090909090909,0.6851851851851852,0.7037037037037037,0.01547400307890947,fail,pass,escalate
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/003.png,0,0.4973337650299072,0.6666666666666666,0.6521739130434783,0.6956521739130435,0.013867749027566375,escalate,pass,escalate
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/004.png,0,0.5646539926528931,0.8392857142857143,0.8363636363636363,0.8545454545454545,0.03541888762268867,fail,pass,escalate
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/005.png,0,0.4602889716625213,0.7017543859649124,0.6964285714285714,0.7142857142857143,0.01627516945031608,fail,pass,escalate
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/006.png,0,0.6247449517250061,0.8113207547169812,0.8076923076923077,0.8269230769230769,0.029347627053751275,fail,pass,escalate
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/007.png,0,0.4345433712005615,0.7017543859649124,0.6964285714285714,0.7142857142857143,0.01627516945031608,fail,pass,escalate
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/008.png,0,0.703721284866333,0.8225806451612904,0.819672131147541,0.8360655737704918,0.03157084188911705,fail,pass,escalate
/Users/hermes/Agentic Adjudication Layer  for Industrial Visual Quality Inspection/datasets/mvtec/screw/test/good/009.png,0,0.4447821974754333,0.6909090909090909,0.6851851851851852,0.7037037037037037,0.01547400307890947,fail,pass,escalate
