regime,prevalence,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
native,0.74375,ours,0.0,0.0,1.0,,,1.0
native,0.74375,ours,0.040769230769230766,0.0,1.0,,,1.0
native,0.74375,ours,0.08153846153846153,0.0,1.0,,,1.0
native,0.74375,ours,0.1223076923076923,0.0,1.0,,,1.0
native,0.74375,ours,0.16307692307692306,0.0,1.0,,,1.0
native,0.74375,ours,0.20384615384615384,0.0,1.0,,,1.0
native,0.74375,ours,0.2446153846153846,0.0,1.0,,,1.0
native,0.74375,ours,0.28538461538461535,0.0,1.0,,,1.0
native,0.74375,ours,0.3261538461538461,0.0,1.0,,,1.0
native,0.74375,ours,0.3669230769230769,0.0,1.0,,,1.0
native,0.74375,ours,0.4076923076923077,0.0,1.0,,,1.0
native,0.74375,ours,0.4484615384615384,0.0,1.0,,,1.0
native,0.74375,ours,0.4892307692307692,0.06875,0.93125,1.0,0.0,1.00625
native,0.74375,ours,0.5299999999999999,0.1125,0.8875,1.0,0.0,1.01875
native,0.74375,ours,0.5707692307692307,0.2125,0.7875,1.0,0.0,0.99375
native,0.74375,ours,0.6115384615384615,0.33125,0.66875,1.0,0.0,0.875
native,0.74375,ours,0.6523076923076923,0.3625,0.6375,1.0,0.0,0.88125
native,0.74375,ours,0.693076923076923,0.40625,0.59375,1.0,0.0,0.85625
native,0.74375,ours,0.7338461538461538,0.4375,0.5625,1.0,0.0,0.84375
native,0.74375,ours,0.7746153846153846,0.45625,0.54375,1.0,0.0,0.825
native,0.74375,ours,0.8153846153846154,0.45625,0.54375,1.0,0.0,0.825
native,0.74375,ours,0.856153846153846,0.46875,0.53125,1.0,0.0,0.8125
native,0.74375,ours,0.8969230769230768,0.53125,0.46875,1.0,0.0,0.84375
native,0.74375,ours,0.9376923076923076,0.64375,0.35625,1.0,0.0,0.8625
native,0.74375,ours,0.9784615384615384,0.70625,0.29375,1.0,0.0,0.875
native,0.74375,ours,1.0192307692307692,0.825,0.175,1.0,0.0,0.86875
native,0.74375,ours,1.0599999999999998,0.8875,0.1125,1.0,0.0,0.825
native,0.74375,ours,1.1007692307692307,0.91875,0.08125,1.0,0.0,0.79375
native,0.74375,ours,1.1415384615384614,0.91875,0.08125,1.0,0.0,0.79375
native,0.74375,ours,1.1823076923076923,0.925,0.075,1.0,0.0,0.7875
native,0.74375,ours,1.223076923076923,0.9375,0.0625,1.0,0.0,0.775
native,0.74375,ours,1.2638461538461538,0.95,0.05,1.0,0.0,0.78125
native,0.74375,ours,1.3046153846153845,0.96875,0.03125,1.0,0.0,0.8
native,0.74375,ours,1.3453846153846152,0.96875,0.03125,1.0,0.0,0.8
native,0.74375,ours,1.386153846153846,0.96875,0.03125,1.0,0.0,0.8
native,0.74375,ours,1.4269230769230767,0.96875,0.03125,1.0,0.0,0.8
native,0.74375,ours,1.4676923076923076,0.975,0.025,1.0,0.0,0.79375
native,0.74375,ours,1.5084615384615383,0.9875,0.0125,1.0,0.0,0.78125
native,0.74375,ours,1.5492307692307692,0.99375,0.00625,1.0,0.0,0.775
native,0.74375,ours,1.5899999999999999,0.99375,0.00625,1.0,0.0,0.775
native,0.74375,ours,1.6307692307692307,0.99375,0.00625,1.0,0.0,0.775
native,0.74375,ours,1.6715384615384614,0.99375,0.00625,1.0,0.0,0.775
native,0.74375,ours,1.712307692307692,0.99375,0.00625,1.0,0.0,0.775
native,0.74375,ours,1.753076923076923,0.99375,0.00625,1.0,0.0,0.775
native,0.74375,ours,1.7938461538461536,0.99375,0.00625,1.0,0.0,0.775
native,0.74375,ours,1.8346153846153845,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,1.8753846153846152,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,1.916153846153846,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,1.9569230769230768,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,1.9976923076923074,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.0384615384615383,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.079230769230769,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.1199999999999997,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.1607692307692306,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.2015384615384614,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.2423076923076923,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.283076923076923,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.3238461538461537,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.3646153846153846,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.405384615384615,1.0,0.0,1.0,0.0,0.76875
native,0.74375,ours,2.446153846153846,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.0,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.02833413960536321,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.05666827921072642,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.08500241881608962,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.11333655842145283,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.14167069802681603,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.17000483763217925,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.19833897723754246,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.22667311684290567,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.2550072564482689,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.28334139605363207,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.3116755356589953,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.3400096752643585,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.36834381486972173,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.3966779544750849,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.42501209408044816,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.45334623368581134,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.4816803732911745,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.5100145128965378,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.538348652501901,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.5666827921072641,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.5950169317126274,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.6233510713179906,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.6516852109233539,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.680019350528717,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.7083534901340802,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.7366876297394435,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.7650217693448066,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.7933559089501698,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.8216900485555331,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.8500241881608963,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.8783583277662594,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.9066924673716227,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.9350266069769859,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.963360746582349,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.9916948861877123,1.0,0.0,1.0,0.0,0.76875
