regime,prevalence,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
native,0.74375,ours,0.0,0.0,1.0,,,1.0
native,0.74375,ours,0.040769230769230766,0.0125,0.9875,,0.0,0.9875
native,0.74375,ours,0.08153846153846153,0.1875,0.8125,,0.0,0.8125
native,0.74375,ours,0.1223076923076923,0.325,0.675,1.0,0.0,0.69375
native,0.74375,ours,0.16307692307692306,0.39375,0.60625,1.0,0.0,0.625
native,0.74375,ours,0.20384615384615384,0.525,0.475,1.0,0.0,0.49375
native,0.74375,ours,0.2446153846153846,0.55,0.45,1.0,0.0,0.4875
native,0.74375,ours,0.28538461538461535,0.575,0.425,1.0,0.0,0.4625
native,0.74375,ours,0.3261538461538461,0.58125,0.41875,1.0,0.0,0.45625
native,0.74375,ours,0.3669230769230769,0.6125,0.3875,0.5,0.0,0.425
native,0.74375,ours,0.4076923076923077,0.6375,0.3625,0.2857142857142857,0.0,0.4
native,0.74375,ours,0.4484615384615384,0.6625,0.3375,0.2222222222222222,0.0,0.375
native,0.74375,ours,0.4892307692307692,0.69375,0.30625,0.2,0.0,0.34375
native,0.74375,ours,0.5299999999999999,0.73125,0.26875,0.15384615384615385,0.0,0.30625
native,0.74375,ours,0.5707692307692307,0.74375,0.25625,0.14285714285714285,0.0,0.29375
native,0.74375,ours,0.6115384615384615,0.75,0.25,0.13333333333333333,0.0,0.2875
native,0.74375,ours,0.6523076923076923,0.75,0.25,0.13333333333333333,0.0,0.2875
native,0.74375,ours,0.693076923076923,0.75625,0.24375,0.125,0.0,0.28125
native,0.74375,ours,0.7338461538461538,0.7625,0.2375,0.11764705882352941,0.0,0.275
native,0.74375,ours,0.7746153846153846,0.775,0.225,0.10526315789473684,0.0,0.2625
native,0.74375,ours,0.8153846153846154,0.7875,0.2125,0.10526315789473684,0.0,0.25
native,0.74375,ours,0.856153846153846,0.8,0.2,0.09523809523809523,0.0,0.2375
native,0.74375,ours,0.8969230769230768,0.80625,0.19375,0.13636363636363635,0.0,0.25
native,0.74375,ours,0.9376923076923076,0.825,0.175,0.16666666666666666,0.0,0.25
native,0.74375,ours,0.9784615384615384,0.83125,0.16875,0.16666666666666666,0.0,0.24375
native,0.74375,ours,1.0192307692307692,0.8375,0.1625,0.16,0.0,0.2375
native,0.74375,ours,1.0599999999999998,0.8375,0.1625,0.16,0.0,0.2375
native,0.74375,ours,1.1007692307692307,0.84375,0.15625,0.16,0.0,0.23125
native,0.74375,ours,1.1415384615384614,0.85625,0.14375,0.15384615384615385,0.0,0.21875
native,0.74375,ours,1.1823076923076923,0.85625,0.14375,0.15384615384615385,0.0,0.21875
native,0.74375,ours,1.223076923076923,0.85625,0.14375,0.15384615384615385,0.0,0.21875
native,0.74375,ours,1.2638461538461538,0.875,0.125,0.1724137931034483,0.0,0.21875
native,0.74375,ours,1.3046153846153845,0.8875,0.1125,0.2,0.0,0.225
native,0.74375,ours,1.3453846153846152,0.8875,0.1125,0.2,0.0,0.225
native,0.74375,ours,1.386153846153846,0.89375,0.10625,0.2,0.0,0.21875
native,0.74375,ours,1.4269230769230767,0.89375,0.10625,0.2,0.0,0.21875
native,0.74375,ours,1.4676923076923076,0.89375,0.10625,0.2,0.0,0.21875
native,0.74375,ours,1.5084615384615383,0.90625,0.09375,0.22580645161290322,0.0,0.225
native,0.74375,ours,1.5492307692307692,0.91875,0.08125,0.25,0.0,0.23125
native,0.74375,ours,1.5899999999999999,0.91875,0.08125,0.25,0.0,0.23125
native,0.74375,ours,1.6307692307692307,0.91875,0.08125,0.25,0.0,0.23125
native,0.74375,ours,1.6715384615384614,0.93125,0.06875,0.29411764705882354,0.0,0.25625
native,0.74375,ours,1.712307692307692,0.93125,0.06875,0.29411764705882354,0.0,0.25625
native,0.74375,ours,1.753076923076923,0.94375,0.05625,0.3142857142857143,0.0,0.2625
native,0.74375,ours,1.7938461538461536,0.94375,0.05625,0.3142857142857143,0.0,0.2625
native,0.74375,ours,1.8346153846153845,0.95,0.05,0.3142857142857143,0.0,0.25625
native,0.74375,ours,1.8753846153846152,0.95,0.05,0.3142857142857143,0.0,0.25625
native,0.74375,ours,1.916153846153846,0.95,0.05,0.3142857142857143,0.0,0.25625
native,0.74375,ours,1.9569230769230768,0.95,0.05,0.3142857142857143,0.0,0.25625
native,0.74375,ours,1.9976923076923074,0.95,0.05,0.3142857142857143,0.0,0.25625
native,0.74375,ours,2.0384615384615383,0.975,0.025,0.3157894736842105,0.0,0.25
native,0.74375,ours,2.079230769230769,0.975,0.025,0.3157894736842105,0.0,0.25
native,0.74375,ours,2.1199999999999997,0.975,0.025,0.3157894736842105,0.0,0.25
native,0.74375,ours,2.1607692307692306,0.9875,0.0125,0.35,0.0,0.275
native,0.74375,ours,2.2015384615384614,0.9875,0.0125,0.35,0.0,0.275
