regime,prevalence,cost_matrix,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
native,0.625,10/3/1,ours,0.0,0.0,1.0,,,1.0
native,0.625,10/3/1,ours,0.040769230769230766,0.0,1.0,,,1.0
native,0.625,10/3/1,ours,0.08153846153846153,0.01875,0.98125,,0.0,0.98125
native,0.625,10/3/1,ours,0.1223076923076923,0.13125,0.86875,,0.0,0.86875
native,0.625,10/3/1,ours,0.16307692307692306,0.13125,0.86875,,0.0,0.86875
native,0.625,10/3/1,ours,0.20384615384615384,0.13125,0.86875,,0.0,0.86875
native,0.625,10/3/1,ours,0.2446153846153846,0.14375,0.85625,,0.0,0.85625
native,0.625,10/3/1,ours,0.28538461538461535,0.16875,0.83125,1.0,0.0,0.85
native,0.625,10/3/1,ours,0.3261538461538461,0.16875,0.83125,1.0,0.0,0.85
native,0.625,10/3/1,ours,0.3669230769230769,0.16875,0.83125,1.0,0.0,0.85
native,0.625,10/3/1,ours,0.4076923076923077,0.175,0.825,1.0,0.0,0.84375
native,0.625,10/3/1,ours,0.4484615384615384,0.2,0.8,1.0,0.0,0.8375
native,0.625,10/3/1,ours,0.4892307692307692,0.2125,0.7875,1.0,0.0,0.825
native,0.625,10/3/1,ours,0.5299999999999999,0.225,0.775,1.0,0.0,0.8125
native,0.625,10/3/1,ours,0.5707692307692307,0.2375,0.7625,1.0,0.0,0.81875
native,0.625,10/3/1,ours,0.6115384615384615,0.24375,0.75625,1.0,0.0,0.8125
native,0.625,10/3/1,ours,0.6523076923076923,0.24375,0.75625,1.0,0.0,0.8125
native,0.625,10/3/1,ours,0.693076923076923,0.24375,0.75625,1.0,0.0,0.8125
native,0.625,10/3/1,ours,0.7338461538461538,0.25,0.75,1.0,0.0,0.80625
native,0.625,10/3/1,ours,0.7746153846153846,0.2875,0.7125,1.0,0.0,0.76875
native,0.625,10/3/1,ours,0.8153846153846154,0.29375,0.70625,1.0,0.0,0.7625
native,0.625,10/3/1,ours,0.856153846153846,0.29375,0.70625,1.0,0.0,0.7625
native,0.625,10/3/1,ours,0.8969230769230768,0.31875,0.68125,1.0,0.0,0.7375
native,0.625,10/3/1,ours,0.9376923076923076,0.31875,0.68125,1.0,0.0,0.7375
native,0.625,10/3/1,ours,0.9784615384615384,0.31875,0.68125,1.0,0.0,0.7375
native,0.625,10/3/1,ours,1.0192307692307692,0.325,0.675,1.0,0.0,0.73125
